,index,year,concussion,pe_attendance,Television,race,sports_participation,sex,breakfast,physical_activity,age_sex,multiple_partners,Age_Weed,fight,Hrs_Sleep,suicide,Age_Alc,drunk_driving
3672,201700,2017,0,0,0,3,1,1,3,4,10,3,11,1,6,1,8,0
7616,216731,2019,0,0,4,3,0,1,4,1,8,1,12,1,6,1,8,0
1244,193913,2019,0,5,5,2,2,2,4,7,10,6,11,1,6,1,8,0
3672,201700,2019,0,0,0,3,1,1,3,4,10,3,11,1,6,1,8,0
3709,201759,2019,0,0,5,2,0,1,3,0,13,3,12,1,6,1,8,0
4091,202879,2019,2,4,3,3,1,1,3,4,8,1,11,1,6,1,8,0
4221,203121,2019,1,0,0,1,2,1,1,1,11,4,12,1,6,1,8,0
3672,201700,2019,0,0,0,3,1,1,3,4,10,3,11,1,6,1,8,0
3709,201759,2019,0,0,5,2,0,1,3,0,13,3,12,1,6,1,8,0
4091,202879,2019,2,4,3,3,1,1,3,4,8,1,11,1,6,1,8,0
3280,200942,2017,0,0,1,3,0,1,0,0,8,6,10,1,6,1,8,0
3669,201690,2017,0,0,2,4,1,1,0,1,13,2,11,1,6,1,8,0
5901,209953,2017,0,0,2,3,2,2,0,5,13,3,11,0,6,1,8,0
4273,203228,2019,0,0,0.5,3,0,1,1,5,8,2,13,0,6,1,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,6,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,6,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,6,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,6,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,6,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,6,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,6,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,6,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,6,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,6,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,6,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,6,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,6,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,6,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,6,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,6,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,6,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,6,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,6,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,6,0,8,0
4533,204698,2017,0,0,3,3,0,2,2,7,8,6,11,0,7,0,8,0
3403,201179,2019,4,0,0,2,1,1,7,7,11,4,10,0,7,0,8,0
4533,204698,2019,0,0,3,3,0,2,2,7,8,6,11,0,7,0,8,0
7488,216418,2019,0,0,2,1,0,1,0,0,11,6,11,1,7,0,8,0
7488,216418,2019,0,0,2,1,0,1,0,0,11,6,11,1,7,0,8,0
96,189979,2017,0,5,0.5,2,1,2,7,3,10,4,12,0,7,1,8,0
723,192358,2017,1,5,1,3,1,2,4,3,9,6,10,0,7,1,8,0
835,192591,2017,0,0,1,1,3,2,7,7,10,5,11,0,7,1,8,0
1334,194125,2017,0,0,3,1,0,2,0,3,10,6,11,0,7,1,8,0
3175,200408,2017,0,0,0,2,1,1,0,2,12,2,10,0,7,1,8,0
1334,194125,2019,0,0,3,1,0,2,0,3,10,6,11,0,7,1,8,0
3175,200408,2019,0,0,0,2,1,1,0,2,12,2,10,0,7,1,8,0
3887,202211,2019,4,0,1,2,1,1,0,1,13,4,11,0,7,1,8,0
3887,202211,2019,4,0,1,2,1,1,0,1,13,4,11,0,7,1,8,0
484,191780,2017,0,5,1,4,3,2,3,7,11,6,12,1,7,1,8,0
1249,193920,2017,0,5,3,2,1,2,2,5,9,1,11,1,7,1,8,0
2929,199796,2017,0,0,2,1,2,1,2,7,12,2,12,1,7,1,8,0
6669,214073,2017,0,0,5,2,0,1,2,0,12,1,12,1,7,1,8,0
6745,214290,2017,1,5,0,1,1,1,2,3,11,6,11,1,7,1,8,0
6746,214291,2017,0,0,2,1,1,1,5,2,12,4,10,1,7,1,8,0
1105,193621,2019,0,0,2,1,0,2,7,6,9,3,13,1,7,1,8,0
1249,193920,2019,0,5,3,2,1,2,2,5,9,1,11,1,7,1,8,0
1332,194121,2019,0,0,2,1,0,2,0,5,12,3,10,1,7,1,8,0
6669,214073,2019,0,0,5,2,0,1,2,0,12,1,12,1,7,1,8,0
6745,214290,2019,1,5,0,1,1,1,2,3,11,6,11,1,7,1,8,0
4105,202904,2019,0,0,4,1,0,1,7,5,13,3,12,1,7,1,8,0
4105,202904,2019,0,0,4,1,0,1,7,5,13,3,12,1,7,1,8,0
3431,201226,2017,0,0,0,3,0,1,1,2,13,1,12,1,7,1,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,7,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,7,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,7,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,7,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,7,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,7,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,7,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,7,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,7,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,7,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,7,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,7,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,7,0,8,0
6631,213993,2017,0,0,2,1,1,1,7,0,12,1,11,1,8,0,8,0
3053,200014,2019,0,5,0,1,1,1,6,6,12,1,11,0,8,0,8,0
153,190191,2017,0,0,0.5,1,3,2,0,4,12,1,11,0,8,1,8,0
833,192589,2017,0,5,0.5,2,0,2,7,5,10,4,10,0,8,1,8,0
1700,195221,2017,0,0,2,1,0,2,7,7,10,6,9,0,8,1,8,0
4955,207161,2017,2,0,3,4,2,2,7,7,10,6,8,0,8,1,8,0
5854,209769,2017,4,1,1,3,3,2,7,7,9,6,9,0,8,1,8,0
4509,204472,2019,0,3,0,3,2,2,7,7,10,2,10,0,8,1,8,0
4543,204760,2019,0,5,2,1,1,2,3,7,11,3,11,0,8,1,8,0
1016,193393,2017,1,5,1,1,3,2,7,7,9,6,10,1,8,1,8,0
3049,200003,2017,0,0,2,3,0,1,1,3,12,1,11,1,8,1,8,0
3075,200073,2017,0,0,2,1,0,1,1,1,12,1,12,1,8,1,8,0
3129,200227,2017,0,0,2,1,0,1,5,3,12,1,9,1,8,1,8,0
3339,201076,2017,0,0,2,1,0,1,7,2,10,6,13,1,8,1,8,0
3049,200003,2019,0,0,2,3,0,1,1,3,12,1,11,1,8,1,8,0
3129,200227,2019,0,0,2,1,0,1,5,3,12,1,9,1,8,1,8,0
3680,201710,2019,0,0,3,3,0,1,0,0,13,2,12,1,8,1,8,0
3339,201076,2019,0,0,2,1,0,1,7,2,10,6,13,1,8,1,8,0
3680,201710,2019,0,0,3,3,0,1,0,0,13,2,12,1,8,1,8,0
7082,215215,2017,1,0,2,3,1,1,6,4,11,3,10,0,8,1,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,8,0,8,0
3658,201670,2019,0,0,4,1,0,2,3,0,11,6,11,0,9,0,8,0
2938,199809,2017,0,0,2,1,0,1,5,3,12,1,11,1,9,0,8,0
593,192030,2017,4,5,0.5,4,3,2,5,7,11,4,8,0,9,1,8,0
3658,201670,2019,0,0,4,1,0,1,3,0,12,6,11,1,9,1,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,9,0,8,0
48,189369,2017,4,5,5,2,3,2,7,7,8,6,8,0,10,1,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,10,0,8,0
1530,194603,2017,4,5,0,2,3,2,7,7,11,6,11,0,4,0,8,1
2466,198082,2017,1,0,2,1,0,1,1,1,8,2,10,0,4,0,8,1
2547,198710,2017,0,5,3,2,1,1,2,0,12,6,12,0,4,0,8,1
6287,212254,2017,0,0,4,1,2,1,2,2,10,1,8,0,4,0,8,1
3137,200257,2019,1,0,4,1,0,1,0,0,11,6,11,0,4,0,8,1
2466,198082,2019,1,0,2,1,0,1,1,1,8,2,10,0,4,0,8,1
2547,198710,2019,0,5,3,2,1,1,2,0,12,6,12,0,4,0,8,1
3137,200257,2019,1,0,4,1,0,1,0,0,11,6,11,0,4,0,8,1
3969,202479,2017,0,0,2,3,0,1,4,1,12,2,11,0,4,0,8,1
4309,203277,2017,0,0,0,3,0,1,0,3,12,3,12,0,4,0,8,1
6557,213432,2017,0,0,0,2,0,1,0,7,9,6,10,1,4,0,8,1
1036,193483,2019,0,2,0.5,1,0,2,4,5,11,1,13,1,4,0,8,1
7422,216263,2019,0,0,5,1,0,1,0,1,9,6,12,1,4,0,8,1
6557,213432,2019,0,0,0,2,0,1,0,7,9,6,10,1,4,0,8,1
1858,195540,2017,0,5,0.5,1,3,2,2,7,8,2,9,0,4,0,8,1
1357,194173,2017,0,0,3,3,0,2,0,3,9,3,8,0,4,1,8,1
3648,201653,2017,0,0,0,1,0,1,7,0,10,6,10,0,4,1,8,1
5162,207719,2017,3,2,2,2,3,2,7,7,8,6,8,0,4,1,8,1
5436,208716,2017,0,0,1,2,3,2,5,7,8,3,10,0,4,1,8,1
6200,211513,2017,0,5,3,4,0,1,6,0,8,2,9,0,4,1,8,1
7418,216257,2019,0,0,1,3,1,1,0,2,13,1,8,0,4,1,8,1
3183,200436,2019,3,3,2,2,2,1,2,7,11,1,11,0,4,1,8,1
5757,209531,2017,1,5,0,1,0,2,0,3,12,4,10,1,4,1,8,1
